cfg_dataset,cfg_model,cfg_num_layers,cfg_removal_candidate_sampler,cfg_removal_neighbor_dist,"('inf_mae', 'mean')","('inf_mae', 'std')","('inf_mape', 'mean')","('inf_mape', 'std')","('calced_inf', 'mean')","('calced_inf', 'std')","('actual_inf', 'mean')","('actual_inf', 'std')","('inf_corr', 'mean')","('inf_corr', 'std')"
citeseer_public,GAT,2,group_neighbor,1,0.046132974045176516,0.02666788951483136,85.8581764398956,11.284364016391791,0.007843037231068557,0.006306610023577781,0.05397601127624507,0.03052628780887356,0.6764356263643211,0.0
citeseer_public,GAT,2,group_neighbor,4,0.029377337160112784,0.00829806505952914,84.5471231295029,14.66297713026381,0.006149596509931113,0.005414472156680856,0.0355269336700439,0.01125770264053095,0.7152422603670591,0.0
citeseer_public,GCN,2,group_neighbor,3,0.00793337267823515,0.002082637076943564,86.42222461364736,36.987621463104574,0.0020551689248531797,0.0022878397635563252,0.00998854160308833,0.00301194983543518,0.7233260744585749,0.0
citeseer_public,GCN,2,group_neighbor,4,0.002864654506556672,0.0026274367740286753,94.15927590149433,92.10732284018533,0.00056972153950481,0.002611155502859054,0.0029175639152526577,0.0038899884842673663,0.6053666904490388,0.0
citeseer_public,GCN,2,group_neighbor,5,0.00207333810860289,0.001435031521030484,86.42623275960099,115.18423396578912,0.001010523361619558,0.004622348839616442,0.001423206329345692,0.00551389129229486,0.8925507705659845,0.0
citeseer_public,GCN,2,group_non_neighbor,1,0.005847197277471397,0.0033316010317138846,764.6175693934509,4241.40292198312,-0.001364586846902968,0.0041683017877781545,0.004449803829193089,0.004751655223129395,0.7185332340843533,0.0
citeseer_public,GCN,4,group_neighbor,1,0.008777271588332922,0.006315822135018507,178.0711293958888,365.88268495715226,0.0023034686921164322,0.010865111901674452,0.007108521461486789,0.009592273163584441,0.5522859736640459,0.0
citeseer_public,GCN,4,group_neighbor,2,0.01635975200450039,0.007185806563431782,187.9631278758193,231.47540994564156,-0.004661289041396194,0.004261336149497242,0.011698462963104197,0.0061457488516641475,0.08196918705167136,0.0
citeseer_public,GCN,4,group_neighbor,3,0.0392012999416328,0.01214463983133482,147.93539475566254,46.3048830998785,-0.011625535285565954,0.0069277841358939855,0.02757576465606685,0.008674710194483203,-0.20173786081667233,0.0
citeseer_public,GCN,4,group_neighbor,4,0.01813341538887466,0.010518347388059974,434.6780236343236,994.4768323883435,-0.007015523952431952,0.007413764951566335,0.011007304191589328,0.009559939471742279,0.22321437432310495,0.0
citeseer_public,GCN,4,group_neighbor,5,0.012114401559811045,0.006339622470468913,387.3357530168285,1279.6163247752113,-0.001345789271872478,0.010895305672629313,0.010147964954376192,0.011717194775500732,0.7866769320702651,0.0
